epochs,embed_dim,test_word,sg_word_1,sg_word_2,sg_word_3,sg_word_4,sg_word_5,sg_score_1,sg_score_2,sg_score_3,sg_score_4,sg_score_5,cbow_word_1,cbow_word_2,cbow_word_3,cbow_word_4,cbow_word_5,cbow_score_1,cbow_score_2,cbow_score_3,cbow_score_4,cbow_score_5
1,300,king,runcie,coretta,knighting,luther,chevene,0.3867,0.3853,0.3794,0.3736,0.3729,innout,alsenussi,vandross,scissorhands,alaskar,0.4057,0.3957,0.3942,0.3738,0.3638
1,300,queen,elizabeth,greatgreatgrandmother,iis,bedchamber,nefertiti,0.459,0.4532,0.4517,0.4446,0.4404,minchilli,princess,olten,dilts,khangreig,0.5068,0.4777,0.4767,0.4243,0.4234
1,300,man,woman,boy,bloke,birdwatcher,policewoman,0.4725,0.384,0.3786,0.3564,0.3542,woman,teenager,gentleman,assailant,bloke,0.6434,0.581,0.5346,0.5172,0.514
1,300,woman,man,eightmonths,schoolteacher,paraplegic,prostitute,0.4725,0.4433,0.4174,0.4165,0.4142,man,teenager,girl,toddler,schoolgirl,0.6434,0.6198,0.6124,0.5515,0.5499
1,300,computer,keylogger,fingerprint,photodna,cryptography,headmounted,0.4311,0.4283,0.4221,0.4218,0.4202,computers,laptop,pcs,smartphone,malware,0.6861,0.5322,0.5158,0.5098,0.5095
1,300,science,nanoengineering,psychology,ntnu,neuroscience,meteoritics,0.5235,0.5112,0.5081,0.5017,0.4965,mathematics,psychology,neuroscience,physics,biology,0.5743,0.5427,0.5382,0.5329,0.5238
1,300,university,sogang,universitys,criminology,sociology,tongji,0.5876,0.5831,0.5819,0.5713,0.571,universitys,dartmouth,sociology,mit,undergraduate,0.7176,0.5364,0.525,0.5058,0.4992
1,300,student,jadavpur,graduate,yeshiva,majoring,undergraduate,0.4662,0.4641,0.4456,0.4447,0.4385,graduate,students,graduates,undergraduate,undergraduates,0.5637,0.5636,0.5207,0.5145,0.5091
1,600,king,vi,vandross,lothbury,bkwn,jr,0.4029,0.3995,0.3728,0.372,0.3669,innout,vandross,kings,adulyadej,prince,0.404,0.3884,0.3543,0.3283,0.3256
1,600,queen,princess,iis,majesty,hrh,jubilee,0.4801,0.4778,0.4743,0.4524,0.4377,princess,hartfield,debicki,monarch,filkin,0.4733,0.3982,0.3702,0.3561,0.3513
1,600,man,woman,teenager,person,boy,bloke,0.6457,0.4882,0.4747,0.4576,0.457,woman,teenager,person,bloke,boy,0.7198,0.5951,0.5455,0.5087,0.5019
1,600,woman,man,girl,teenager,boy,pensioner,0.6457,0.5131,0.5016,0.4605,0.4587,man,teenager,girl,toddler,person,0.7198,0.6503,0.6185,0.5386,0.5272
