epochs,embed_dim,model,test_word,similar_word,similarity_score
1,300,Skip-gram,king,runcie,0.3867
1,300,Skip-gram,king,coretta,0.3853
1,300,Skip-gram,king,knighting,0.3794
1,300,Skip-gram,king,luther,0.3736
1,300,Skip-gram,king,chevene,0.3729
1,300,Skip-gram,queen,elizabeth,0.459
1,300,Skip-gram,queen,greatgreatgrandmother,0.4532
1,300,Skip-gram,queen,iis,0.4517
1,300,Skip-gram,queen,bedchamber,0.4446
1,300,Skip-gram,queen,nefertiti,0.4404
1,300,Skip-gram,man,woman,0.4725
1,300,Skip-gram,man,boy,0.384
1,300,Skip-gram,man,bloke,0.3786
1,300,Skip-gram,man,birdwatcher,0.3564
1,300,Skip-gram,man,policewoman,0.3542
1,300,Skip-gram,woman,man,0.4725
1,300,Skip-gram,woman,eightmonths,0.4433
1,300,Skip-gram,woman,schoolteacher,0.4174
1,300,Skip-gram,woman,paraplegic,0.4165
1,300,Skip-gram,woman,prostitute,0.4142
1,300,Skip-gram,computer,keylogger,0.4311
1,300,Skip-gram,computer,fingerprint,0.4283
1,300,Skip-gram,computer,photodna,0.4221
1,300,Skip-gram,computer,cryptography,0.4218
1,300,Skip-gram,computer,headmounted,0.4202
1,300,Skip-gram,science,nanoengineering,0.5235
1,300,Skip-gram,science,psychology,0.5112
1,300,Skip-gram,science,ntnu,0.5081
1,300,Skip-gram,science,neuroscience,0.5017
1,300,Skip-gram,science,meteoritics,0.4965
1,300,Skip-gram,university,sogang,0.5876
1,300,Skip-gram,university,universitys,0.5831
1,300,Skip-gram,university,criminology,0.5819
1,300,Skip-gram,university,sociology,0.5713
1,300,Skip-gram,university,tongji,0.571
1,300,Skip-gram,student,jadavpur,0.4662
1,300,Skip-gram,student,graduate,0.4641
1,300,Skip-gram,student,yeshiva,0.4456
1,300,Skip-gram,student,majoring,0.4447
1,300,Skip-gram,student,undergraduate,0.4385
1,300,CBOW,king,innout,0.4057
1,300,CBOW,king,alsenussi,0.3957
1,300,CBOW,king,vandross,0.3942
1,300,CBOW,king,scissorhands,0.3738
1,300,CBOW,king,alaskar,0.3638
1,300,CBOW,queen,minchilli,0.5068
1,300,CBOW,queen,princess,0.4777
1,300,CBOW,queen,olten,0.4767
1,300,CBOW,queen,dilts,0.4243
1,300,CBOW,queen,khangreig,0.4234
1,300,CBOW,man,woman,0.6434
1,300,CBOW,man,teenager,0.581
1,300,CBOW,man,gentleman,0.5346
1,300,CBOW,man,assailant,0.5172
1,300,CBOW,man,bloke,0.514
1,300,CBOW,woman,man,0.6434
1,300,CBOW,woman,teenager,0.6198
1,300,CBOW,woman,girl,0.6124
1,300,CBOW,woman,toddler,0.5515
1,300,CBOW,woman,schoolgirl,0.5499
1,300,CBOW,computer,computers,0.6861
1,300,CBOW,computer,laptop,0.5322
1,300,CBOW,computer,pcs,0.5158
1,300,CBOW,computer,smartphone,0.5098
1,300,CBOW,computer,malware,0.5095
1,300,CBOW,science,mathematics,0.5743
1,300,CBOW,science,psychology,0.5427
1,300,CBOW,science,neuroscience,0.5382
1,300,CBOW,science,physics,0.5329
1,300,CBOW,science,biology,0.5238
1,300,CBOW,university,universitys,0.7176
1,300,CBOW,university,dartmouth,0.5364
1,300,CBOW,university,sociology,0.525
1,300,CBOW,university,mit,0.5058
1,300,CBOW,university,undergraduate,0.4992
1,300,CBOW,student,graduate,0.5637
1,300,CBOW,student,students,0.5636
1,300,CBOW,student,graduates,0.5207
1,300,CBOW,student,undergraduate,0.5145
1,300,CBOW,student,undergraduates,0.5091
1,600,Skip-gram,king,vi,0.4029
1,600,Skip-gram,king,vandross,0.3995
1,600,Skip-gram,king,lothbury,0.3728
1,600,Skip-gram,king,bkwn,0.372
1,600,Skip-gram,king,jr,0.3669
1,600,Skip-gram,queen,princess,0.4801
1,600,Skip-gram,queen,iis,0.4778
1,600,Skip-gram,queen,majesty,0.4743
1,600,Skip-gram,queen,hrh,0.4524
1,600,Skip-gram,queen,jubilee,0.4377
1,600,Skip-gram,man,woman,0.6457
1,600,Skip-gram,man,teenager,0.4882
1,600,Skip-gram,man,person,0.4747
1,600,Skip-gram,man,boy,0.4576
1,600,Skip-gram,man,bloke,0.457
1,600,Skip-gram,woman,man,0.6457
1,600,Skip-gram,woman,girl,0.5131
1,600,Skip-gram,woman,teenager,0.5016
1,600,Skip-gram,woman,boy,0.4605
1,600,Skip-gram,woman,pensioner,0.4587
